,field_1,LocationID,Borough,Zone,service_zone,geometry
157,167,168,Bronx,Mott Haven/Port Morris,Boro Zone,"POLYGON ((-73.9325059 40.79678, -73.9021542 40.79678, -73.9021542 40.811779, -73.9325059 40.811779, -73.9325059 40.79678))"
158,168,169,Bronx,Mount Hope,Boro Zone,"POLYGON ((-79.9264261 43.1440462, -79.90490249999999 43.1440462, -79.90490249999999 43.16382309999999, -79.9264261 43.16382309999999, -79.9264261 43.1440462))"
159,169,170,Manhattan,Murray Hill,Yellow Zone,"POLYGON ((-73.98296359999999 40.7437943, -73.9698745 40.7437943, -73.9698745 40.7528, -73.98296359999999 40.7528, -73.98296359999999 40.7437943))"
160,170,171,Queens,Murray Hill-Queens,Boro Zone,"POLYGON ((-73.8246781 40.7530824, -73.789424 40.7530824, -73.789424 40.771727, -73.8246781 40.771727, -73.8246781 40.7530824))"
161,171,172,Staten Island,New Dorp/Midland Beach,Boro Zone,"POLYGON ((-74.11697550000001 40.572993700000005, -74.1149755 40.572993700000005, -74.1149755 40.5749937, -74.11697550000001 40.5749937, -74.11697550000001 40.572993700000005))"
162,172,173,Queens,North Corona,Boro Zone,"POLYGON ((-73.8777685 40.7482832, -73.852603 40.7482832, -73.852603 40.7604018, -73.8777685 40.7604018, -73.8777685 40.7482832))"
163,173,174,Bronx,Norwood,Boro Zone,"POLYGON ((138.6226458 -34.9279034, 138.6414731 -34.9279034, 138.6414731 -34.9148011, 138.6226458 -34.9148011, 138.6226458 -34.9279034))"
164,174,175,Queens,Oakland Gardens,Boro Zone,"POLYGON ((-73.7663401 40.7355137, -73.7406635 40.7355137, -73.7406635 40.7515521, -73.7663401 40.7515521, -73.7663401 40.7355137))"
165,176,177,Brooklyn,Ocean Hill,Boro Zone,"POLYGON ((-73.9242677 40.6671133, -73.9000497 40.6671133, -73.9000497 40.69077, -73.9242677 40.69077, -73.9242677 40.6671133))"
166,178,179,Queens,Old Astoria,Boro Zone,"POLYGON ((-73.9508771 40.748964, -73.9022182 40.748964, -73.9022182 40.78260179999999, -73.9508771 40.78260179999999, -73.9508771 40.748964))"
167,179,180,Queens,Ozone Park,Boro Zone,"POLYGON ((-73.8662949 40.6668285, -73.8334656 40.6668285, -73.8334656 40.69129059999999, -73.8662949 40.69129059999999, -73.8662949 40.6668285))"
168,180,181,Brooklyn,Park Slope,Boro Zone,"POLYGON ((-73.9927269 40.6574724, -73.9701749 40.6574724, -73.9701749 40.6848525, -73.9927269 40.6848525, -73.9927269 40.6574724))"
169,181,182,Bronx,Parkchester,Boro Zone,"POLYGON ((-73.8642174 40.833279, -73.85164970000001 40.833279, -73.85164970000001 40.842379, -73.8642174 40.842379, -73.8642174 40.833279))"
170,182,183,Bronx,Pelham Bay,Boro Zone,"POLYGON ((-73.8343333 40.8495556, -73.83233329999999 40.8495556, -73.83233329999999 40.8515556, -73.8343333 40.8515556, -73.8343333 40.8495556))"
171,183,184,Bronx,Pelham Bay Park,Boro Zone,"POLYGON ((-73.8111103 40.8657516, -73.80911029999999 40.8657516, -73.80911029999999 40.8677516, -73.8111103 40.8677516, -73.8111103 40.8657516))"
172,184,185,Bronx,Pelham Parkway,Boro Zone,"POLYGON ((-73.8699323 40.85030709999999, -73.857365 40.85030709999999, -73.857365 40.8569732, -73.8699323 40.8569732, -73.8699323 40.85030709999999))"
173,185,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,"POLYGON ((-73.98924699999999 40.7423582, -73.9889658 40.7423582, -73.9889658 40.743047, -73.98924699999999 40.743047, -73.98924699999999 40.7423582))"
174,186,187,Staten Island,Port Richmond,Boro Zone,"POLYGON ((-75.1190321 39.9738987, -75.079518 39.9738987, -75.079518 39.9977951, -75.1190321 39.9977951, -75.1190321 39.9738987))"
175,187,188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,"POLYGON ((-73.96272789999999 40.6545285, -73.94663299999999 40.6545285, -73.94663299999999 40.66366499999999, -73.96272789999999 40.66366499999999, -73.96272789999999 40.6545285))"
176,188,189,Brooklyn,Prospect Heights,Boro Zone,"POLYGON ((-73.9774381 40.6717057, -73.9626109 40.6717057, -73.9626109 40.6840388, -73.9774381 40.6840388, -73.9774381 40.6717057))"
177,189,190,Brooklyn,Prospect Park,Boro Zone,"POLYGON ((-73.96995580000001 40.6592037, -73.9679558 40.6592037, -73.9679558 40.661203699999994, -73.96995580000001 40.661203699999994, -73.96995580000001 40.6592037))"
178,190,191,Queens,Queens Village,Boro Zone,"POLYGON ((-73.75671009999999 40.698445, -73.725606 40.698445, -73.725606 40.7325461, -73.75671009999999 40.7325461, -73.75671009999999 40.698445))"
179,191,192,Queens,Queensboro Hill,Boro Zone,"POLYGON ((-73.83764699999999 40.7381308, -73.8044905 40.7381308, -73.8044905 40.7499113, -73.83764699999999 40.7499113, -73.83764699999999 40.7381308))"
180,192,193,Queens,Queensbridge/Ravenswood,Boro Zone,"POLYGON ((-73.9490914 40.75235850000001, -73.941231 40.75235850000001, -73.941231 40.7577991, -73.9490914 40.7577991, -73.9490914 40.75235850000001))"
181,193,194,Manhattan,Randalls Island,Yellow Zone,"POLYGON ((-73.93605339999999 40.7809301, -73.9137308 40.7809301, -73.9137308 40.80202, -73.93605339999999 40.80202, -73.93605339999999 40.7809301))"
182,194,195,Brooklyn,Red Hook,Boro Zone,"POLYGON ((-74.0202999 40.6613687, -73.9950228 40.6613687, -73.9950228 40.68750470000001, -74.0202999 40.68750470000001, -74.0202999 40.6613687))"
183,195,196,Queens,Rego Park,Boro Zone,"POLYGON ((-73.8749546 40.7108153, -73.8517299 40.7108153, -73.8517299 40.736372, -73.8749546 40.736372, -73.8749546 40.7108153))"
184,196,197,Queens,Richmond Hill,Boro Zone,"POLYGON ((-79.485593 43.829353, -79.37100989999999 43.829353, -79.37100989999999 43.9777849, -79.485593 43.9777849, -79.485593 43.829353))"
185,197,198,Queens,Ridgewood,Boro Zone,"POLYGON ((-73.9240245 40.69166070000001, -73.8888254 40.69166070000001, -73.8888254 40.7139973, -73.9240245 40.7139973, -73.9240245 40.69166070000001))"
186,198,199,Bronx,Rikers Island,Boro Zone,"POLYGON ((-73.8926978 40.7853968, -73.8708716 40.7853968, -73.8708716 40.7987094, -73.8926978 40.7987094, -73.8926978 40.7853968))"
187,199,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,"POLYGON ((-73.9050759 40.9048718, -73.90307589999999 40.9048718, -73.90307589999999 40.9068718, -73.9050759 40.9068718, -73.9050759 40.9048718))"
188,200,201,Queens,Rockaway Park,Boro Zone,"POLYGON ((-73.8484076 40.5739587, -73.8299593 40.5739587, -73.8299593 40.58382770000001, -73.8484076 40.58382770000001, -73.8484076 40.5739587))"
189,201,202,Manhattan,Roosevelt Island,Boro Zone,"POLYGON ((-73.96154709999999 40.749613, -73.94000720000001 40.749613, -73.94000720000001 40.772991, -73.96154709999999 40.772991, -73.96154709999999 40.749613))"
190,202,203,Queens,Rosedale,Boro Zone,"POLYGON ((-93.1732643 45.01164, -93.17126429999999 45.01164, -93.17126429999999 45.013639999999995, -93.1732643 45.013639999999995, -93.1732643 45.01164))"
191,203,204,Staten Island,Rossville/Woodrow,Boro Zone,"POLYGON ((-85.305961 34.9557299, -85.272162 34.9557299, -85.272162 34.9849751, -85.305961 34.9849751, -85.305961 34.9557299))"
192,204,205,Queens,Saint Albans,Boro Zone,"POLYGON ((-0.3716195 51.7183527, -0.2569791 51.7183527, -0.2569791 51.7760986, -0.3716195 51.7760986, -0.3716195 51.7183527))"
193,205,206,Staten Island,Saint George/New Brighton,Boro Zone,"POLYGON ((-74.0871345 40.6448363, -74.0851345 40.6448363, -74.0851345 40.6468363, -74.0871345 40.6468363, -74.0871345 40.6448363))"
194,206,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,"POLYGON ((-73.8995042 40.763676100000005, -73.89750419999999 40.763676100000005, -73.89750419999999 40.7656761, -73.8995042 40.7656761, -73.8995042 40.763676100000005))"
195,207,208,Bronx,Schuylerville/Edgewater Park,Boro Zone,"POLYGON ((-73.59260789999999 43.094259, -73.573342 43.094259, -73.573342 43.10861209999999, -73.59260789999999 43.10861209999999, -73.59260789999999 43.094259))"
196,209,210,Brooklyn,Sheepshead Bay,Boro Zone,"POLYGON ((-73.9666379 40.582148, -73.9256371 40.582148, -73.9256371 40.6159111, -73.9666379 40.6159111, -73.9666379 40.582148))"
197,210,211,Manhattan,SoHo,Yellow Zone,"POLYGON ((-74.0054619 40.7189454, -73.9958967 40.7189454, -73.9958967 40.7283442, -74.0054619 40.7283442, -74.0054619 40.7189454))"
